An exponentially decaying sine wave on a constant background
data set 2
x_data	y_data
 20.0	  1.46
 20.7	  1.98
 21.5	  2.30
 22.2	  2.46
 23.0	  1.90
 23.7	  0.82
 24.5	  0.13
 25.2	 -0.39
 26.0	 -0.94
 26.7	 -1.26
 27.4	 -1.22
 28.2	 -0.80
 28.9	 -0.09
 29.7	  0.74
 30.4	  1.25
 31.2	  1.52
 31.9	  1.80
 32.7	  1.61
 33.4	  1.25
 34.1	  0.69
 34.9	  0.16
 35.6	 -0.59
 36.4	 -0.92
 37.1	 -0.97
 37.9	 -0.74
 38.6	 -0.31
 39.4	  0.64
 40.1	  0.89
 40.9	  1.08
 41.6	  1.45
 42.3	  1.28
 43.1	  1.17
 43.8	  0.66
 44.6	  0.38
 45.3	  0.05
 46.1	 -0.53
 46.8	 -0.67
 47.6	 -0.55
 48.3	 -0.11
 49.0	  0.07
 49.8	  0.53
 50.5	  1.01
 51.3	  1.02
 52.0	  1.41
 52.8	  0.91
 53.5	  0.83
 54.3	  0.34
 55.0	  0.09
 55.7	 -0.11
 56.5	 -0.43
 57.2	 -0.15
 58.0	  0.08
 58.7	  0.25
 59.5	  0.28
 60.2	  0.68
 61.0	  0.88
 61.7	  0.83
 62.4	  1.04
 63.2	  1.00
 63.9	  0.61
 64.7	  0.31
 65.4	  0.30
 66.2	 -0.10
 66.9	 -0.05
 67.7	 -0.02
 68.4	  0.33
 69.1	  0.26
 69.9	  0.55
 70.6	  0.64
 71.4	  1.05
 72.1	  0.78
 72.9	  0.74
 73.6	  0.57
 74.4	  0.17
 75.1	  0.35
 75.9	  0.09
 76.6	  0.17
 77.3	 -0.12
 78.1	  0.36
 78.8	  0.34
 79.6	  0.55
 80.3	  0.41
 81.1	  0.69
 81.8	  0.77
 82.6	  0.49
 83.3	  0.65
 84.0	  0.25
 84.8	  0.45
 85.5	  0.02
 86.3	  0.13
 87.0	 -0.04
 87.8	  0.15
 88.5	  0.38
 89.3	  0.24
 90.0	  0.45
