An exponentially decaying sine wave on a constant background
data set 4
x_data	y_data
 20.0	  1.46
 20.7	  2.19
 21.5	  2.12
 22.2	  2.00
 23.0	  1.72
 23.7	  0.82
 24.5	 -0.01
 25.2	 -0.54
 26.0	 -0.97
 26.7	 -1.34
 27.4	 -0.99
 28.2	 -0.74
 28.9	 -0.03
 29.7	  0.92
 30.4	  1.49
 31.2	  1.88
 31.9	  1.74
 32.7	  1.64
 33.4	  0.92
 34.1	  0.78
 34.9	  0.07
 35.6	 -0.39
 36.4	 -0.98
 37.1	 -0.73
 37.9	 -0.72
 38.6	  0.14
 39.4	  0.25
 40.1	  0.75
 40.9	  1.22
 41.6	  1.45
 42.3	  1.23
 43.1	  0.90
 43.8	  0.60
 44.6	  0.18
 45.3	 -0.14
 46.1	 -0.56
 46.8	 -0.54
 47.6	 -0.15
 48.3	 -0.11
 49.0	  0.17
 49.8	  0.41
 50.5	  0.95
 51.3	  1.21
 52.0	  1.36
 52.8	  1.12
 53.5	  0.90
 54.3	  0.27
 55.0	  0.15
 55.7	 -0.28
 56.5	 -0.16
 57.2	 -0.45
 58.0	 -0.26
 58.7	  0.15
 59.5	  0.41
 60.2	  0.69
 61.0	  1.15
 61.7	  0.90
 62.4	  0.88
 63.2	  0.86
 63.9	  0.34
 64.7	  0.36
 65.4	  0.24
 66.2	 -0.26
 66.9	 -0.20
 67.7	 -0.02
 68.4	  0.03
 69.1	  0.19
 69.9	  0.66
 70.6	  0.81
 71.4	  0.73
 72.1	  0.70
 72.9	  0.91
 73.6	  0.57
 74.4	  0.25
 75.1	 -0.03
 75.9	  0.09
 76.6	 -0.20
 77.3	  0.11
 78.1	  0.29
 78.8	  0.32
 79.6	  0.68
 80.3	  0.57
 81.1	  0.69
 81.8	  0.74
 82.6	  0.75
 83.3	  0.69
 84.0	  0.23
 84.8	  0.45
 85.5	 -0.00
 86.3	  0.22
 87.0	  0.01
 87.8	  0.11
 88.5	  0.04
 89.3	  0.36
 90.0	  0.63
