An exponentially decaying sine wave on a constant background
data set 3
x_data	y_data
 20.0	  1.07
 20.7	  2.19
 21.5	  2.45
 22.2	  2.31
 23.0	  1.90
 23.7	  0.94
 24.5	  0.44
 25.2	 -0.69
 26.0	 -1.17
 26.7	 -1.03
 27.4	 -1.09
 28.2	 -0.80
 28.9	  0.26
 29.7	  0.68
 30.4	  1.49
 31.2	  1.75
 31.9	  1.57
 32.7	  1.43
 33.4	  1.10
 34.1	  0.55
 34.9	 -0.32
 35.6	 -0.66
 36.4	 -0.98
 37.1	 -0.61
 37.9	 -0.66
 38.6	  0.11
 39.4	  0.37
 40.1	  0.73
 40.9	  1.16
 41.6	  1.45
 42.3	  1.50
 43.1	  1.25
 43.8	  0.67
 44.6	  0.31
 45.3	  0.02
 46.1	 -0.44
 46.8	 -0.64
 47.6	 -0.19
 48.3	 -0.11
 49.0	  0.16
 49.8	  0.80
 50.5	  0.83
 51.3	  1.15
 52.0	  0.94
 52.8	  0.94
 53.5	  0.75
 54.3	  0.52
 55.0	  0.30
 55.7	 -0.30
 56.5	 -0.03
 57.2	 -0.47
 58.0	  0.03
 58.7	  0.32
 59.5	  0.30
 60.2	  0.74
 61.0	  0.67
 61.7	  0.97
 62.4	  0.81
 63.2	  0.66
 63.9	  0.36
 64.7	  0.47
 65.4	 -0.11
 66.2	 -0.08
 66.9	 -0.22
 67.7	 -0.02
 68.4	  0.30
 69.1	  0.19
 69.9	  0.66
 70.6	  0.75
 71.4	  0.84
 72.1	  0.61
 72.9	  0.70
 73.6	  0.57
 74.4	  0.26
 75.1	  0.30
 75.9	  0.09
 76.6	  0.02
 77.3	 -0.02
 78.1	  0.04
 78.8	  0.39
 79.6	  0.53
 80.3	  0.65
 81.1	  0.69
 81.8	  0.76
 82.6	  0.90
 83.3	  0.60
 84.0	  0.25
 84.8	  0.38
 85.5	  0.30
 86.3	  0.08
 87.0	  0.17
 87.8	  0.27
 88.5	  0.25
 89.3	  0.55
 90.0	  0.66
